trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,13,-62.00976589876917,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.95}",20,2,-41.74049582954687,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,14,-72.97194710006981,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-38.92063713818843,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-109.97537637097147,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,7,-121.688592574532,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-71.95519561195579,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-112.99435675444431,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,1,-50.70259887740697,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-47.93179572998971,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-107.35543220744648,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-0.06739941172338026,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-126.52309571766517,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-24.168352456856574,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-22.842594036425712,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,3.3567124122099816,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-73.3315982727679,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-11.573790235040034,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,7,13.207519973267438,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,3.8614248588209383,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,-35.900233528295885,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-35.04116954058087,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",35,17,-55.17644231323115,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",30,0,-61.48783668348731,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,13,-21.936852507729153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,8,-66.79317368614487,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,16,7.0213410433112164,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,23.677919441453454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-15.795648772819744,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,3,19.119864069205853,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
