trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-218.6526316463524,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-81.15209156911222,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",30,0,-112.62472471640073,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-101.69392176987873,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-150.80202109795917,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-178.36913509895768,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,7,-72.96435119497436,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-100.29070928996657,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",35,0,-146.3735785187937,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,3,-36.767637389048254,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-52.505259626551506,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-65.10791891100838,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,2,-59.78864129722627,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-112.63392986551298,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,1,-93.44648601150641,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-75.76798281782312,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,7,-25.706293940237558,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,13,-4.901776413530023,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-40.508116055687985,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-44.785026371166694,"{0: 17, 1: 6, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",30,0,-113.8822007436713,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-94.18685922599427,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,4,-122.42082760899277,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 3}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-78.90201970833509,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-38.11866330580523,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-105.90256071227776,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-79.71776762251855,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,0,-107.80846537087969,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-48.14712774027711,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,14,-22.374369453415177,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",30,4,-120.7304992837535,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,0,-131.730718143707,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-28.83177305990443,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,0,-124.25263644826285,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-65.17538081497196,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,16,4.568589629068274,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,0,-182.90617887893825,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,0,-5.418963271479754,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-92.41871419002408,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,13,11.103376753193215,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-119.91509065626563,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,1.6226506163071364,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-64.58459913843836,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,8,-20.596796815957276,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-31.486204344635198,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",35,19,-21.525056431630833,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-36.39975392665828,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
