trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-188.83638810516769,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-79.3801622690266,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-54.523458834618445,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,14,-89.65514973647035,"{0: 11, 1: 0, 2: 9, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-125.46074167702706,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-124.89335491062319,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-93.54022303936091,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-98.52182821684916,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-146.7188501054057,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-93.0438380535864,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-68.77832141389644,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-243.3439180107043,"{0: 14, 1: 5, 2: 7, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-171.90499886207937,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-64.40560889696329,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-82.2212048201809,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-37.48786485964116,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,20,8.699194188398451,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-186.1874684947378,"{0: 18, 1: 7, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-179.46294975809425,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,3,-54.45462262008114,"{0: 25, 1: 3, 2: 3, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-155.063149102458,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-142.65117235433797,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",35,0,-138.67767596700472,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-185.55039115936196,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-66.95296117420793,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-164.84974818534363,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,12,-14.619715398081249,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-152.78786759073148,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-122.66558433667151,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-16.761745335746706,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
